City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,New Norfolk,AU,52.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
1,Mayumba,GA,74.28,overcast clouds,-3.432,10.6554,LIKWALE LODGE
2,Shingu,JP,79.97,overcast clouds,33.7333,135.9833,Shingu UI Hotel
4,Helena,US,72.36,clear sky,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
5,Tateyama,JP,78.1,light rain,34.9833,139.8667,Tateyama Seaside Hotel
6,Faya,SA,64.92,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
7,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Sangmelima,CM,67.46,overcast clouds,2.9333,11.9833,gamestar hotel
10,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
11,Busselton,AU,53.46,overcast clouds,-33.65,115.3333,Observatory Guest House
13,Maragogi,BR,73.96,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
15,Rikitea,PF,72.41,clear sky,-23.1203,-134.9692,People ThankYou
16,Kruisfontein,ZA,56.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
17,Butaritari,KI,82.9,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
18,Jamestown,US,77.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Bengkulu,ID,74.08,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
20,Northam,GB,55.62,scattered clouds,51.0333,-4.2167,Durrant House Hotel
22,Nayoro,JP,69.69,overcast clouds,44.3506,142.4578,名寄 大雪荘
23,Yantongshan,CN,59.85,scattered clouds,43.2919,126.0094,Home Inn Hotel
24,Arraial Do Cabo,BR,66.43,few clouds,-22.9661,-42.0278,Pousada Porto Praia
26,Samarai,PG,82.87,overcast clouds,-10.6167,150.6667,Nuli Sapi
27,Kodiak,US,65.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn
28,Carnarvon,AU,64.11,clear sky,-24.8667,113.6333,Hospitality Carnarvon
29,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,Le four à pain
31,Marovoay,MG,68.34,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
32,Santa Cruz,BO,84.25,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
33,Chapleau,CA,68.09,overcast clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
34,Cape Town,ZA,55.11,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
36,College,US,54.46,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
37,Kolda,SN,77.31,thunderstorm,12.8833,-14.95,Hôtel Hobbe Chasse
38,Denpasar,ID,74.86,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
39,Bethel,US,71.69,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
40,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
42,Vila Franca Do Campo,PT,72.01,few clouds,37.7167,-25.4333,Pestana Bahia Praia
44,Vao,NC,72.34,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
45,Castro,BR,51.12,clear sky,-24.7911,-50.0119,CHACARA BAILLY
46,Katsuura,JP,79.95,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
47,Fairbanks,US,54.48,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
48,Whitley Bay,GB,53.51,clear sky,55.0397,-1.4471,Cara Guesthouse
49,Tura,IN,73.69,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
50,Itaituba,BR,80.11,overcast clouds,-4.2761,-55.9836,Hotel Campos
51,Bitung,ID,72.45,overcast clouds,1.4451,125.1824,K2 Lembeh
52,Margate,GB,54.7,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
53,Kavieng,PG,83.01,broken clouds,-2.5744,150.7967,Nusa Island Retreat
54,Mangrol,IN,79.99,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
55,Lorengau,PG,82.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
58,Komsomolskiy,UZ,66.92,broken clouds,40.4272,71.7189,Ikathouse
59,Bowen,AU,77.31,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
60,Sao Filipe,CV,78.1,few clouds,14.8961,-24.4956,Hotel Xaguate
61,Balkanabat,TM,77.14,clear sky,39.5108,54.3671,Nebitchi Hotel
62,Mananjary,MG,64.13,clear sky,-21.2167,48.3333,Vahiny Lodge
63,Guerrero Negro,MX,74.3,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
64,Matara,LK,78.01,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
65,Eyl,SO,77.0,scattered clouds,7.9803,49.8164,Amiin Hotel
66,Coquimbo,CL,58.73,broken clouds,-29.9533,-71.3436,Hotel San Juan
67,Hobart,AU,53.26,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
69,Fortuna,US,64.92,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
70,Port Alfred,ZA,60.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
71,Deer Lake,CA,55.26,broken clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
72,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
73,Dharchula,IN,68.31,overcast clouds,29.85,80.5333,Mahara Hotel
74,East London,ZA,64.24,overcast clouds,-33.0153,27.9116,Tu Casa
75,Champerico,GT,81.14,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
77,Norman Wells,CA,64.44,scattered clouds,65.282,-126.8329,Heritage Hotel
78,Lazaro Cardenas,MX,76.55,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
79,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
81,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
83,Harper,LR,76.32,light rain,4.375,-7.7169,Screensaver
87,Bougouni,ML,70.72,light rain,11.417,-7.479,Non Stop
89,Zwedru,LR,70.68,overcast clouds,6.0667,-8.1281,Elijah Worjloh
90,Nampula,MZ,63.05,clear sky,-15.1165,39.2666,Ruby Backpackers
91,Torbay,CA,56.26,broken clouds,47.6666,-52.7314,Gallows Cove
92,Port Elizabeth,ZA,59.31,clear sky,-33.918,25.5701,39 On Nile Guest House
96,Saint-Pierre,RE,69.48,few clouds,-21.3393,55.4781,Alize Plage
98,Vila Velha,BR,66.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
100,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
101,Severo-Kurilsk,RU,51.55,few clouds,50.6789,156.125,Kak Doma
102,Lowestoft,GB,52.41,broken clouds,52.4752,1.7516,Premier Inn Lowestoft hotel
103,Monkey Bay,MW,75.74,overcast clouds,-14.0728,34.9201,Mufasa Eco Lodge
105,Puerto Ayora,EC,71.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
106,Sambava,MG,66.69,light rain,-14.2667,50.1667,Melrose
107,Yulara,AU,56.7,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
109,Praia Da Vitoria,PT,75.45,broken clouds,38.7333,-27.0667,Hotel Branco I
