City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,52.92,88,90,3.15,overcast clouds
1,Mayumba,GA,-3.432,10.6554,74.28,86,97,6.02,overcast clouds
2,Shingu,JP,33.7333,135.9833,79.97,93,100,15.3,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,40.66,70,75,23.02,broken clouds
4,Helena,US,46.5927,-112.0361,72.36,39,0,13.8,clear sky
5,Tateyama,JP,34.9833,139.8667,78.1,86,72,15.99,light rain
6,Faya,SA,18.3851,42.4509,64.92,44,98,4.61,overcast clouds
7,Kapaa,US,22.0752,-159.319,84.52,67,0,9.22,clear sky
8,Sangmelima,CM,2.9333,11.9833,67.46,99,100,3.96,overcast clouds
9,Te Anau,NZ,-45.4167,167.7167,49.3,74,96,1.86,overcast clouds
10,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,8.05,scattered clouds
11,Busselton,AU,-33.65,115.3333,53.46,83,96,2.68,overcast clouds
12,Upernavik,GL,72.7868,-56.1549,36.39,72,88,20.78,overcast clouds
13,Maragogi,BR,-9.0122,-35.2225,73.96,80,11,7.45,few clouds
14,Constitucion,CL,-35.3333,-72.4167,48.49,82,98,10.11,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,72.41,77,0,20.36,clear sky
16,Kruisfontein,ZA,-34.0033,24.7314,56.88,89,100,5.59,overcast clouds
17,Butaritari,KI,3.0707,172.7902,82.9,67,96,9.24,overcast clouds
18,Jamestown,US,42.097,-79.2353,77.02,54,75,6.91,broken clouds
19,Bengkulu,ID,-3.8004,102.2655,74.08,90,54,3.89,broken clouds
20,Northam,GB,51.0333,-4.2167,55.62,74,26,8.01,scattered clouds
21,Sorland,NO,67.667,12.6934,49.86,74,99,29.57,overcast clouds
22,Nayoro,JP,44.3506,142.4578,69.69,90,95,5.19,overcast clouds
23,Yantongshan,CN,43.2919,126.0094,59.85,92,32,6.11,scattered clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,66.43,73,13,11.27,few clouds
25,Ostrovnoy,RU,68.0531,39.5131,47.91,97,100,7.18,overcast clouds
26,Samarai,PG,-10.6167,150.6667,82.87,77,85,12.44,overcast clouds
27,Kodiak,US,57.79,-152.4072,65.71,32,0,9.22,clear sky
28,Carnarvon,AU,-24.8667,113.6333,64.11,79,2,16.4,clear sky
29,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,38,12.93,light rain
30,Mataura,NZ,-46.1927,168.8643,46.47,60,97,5.12,overcast clouds
31,Marovoay,MG,-16.1,46.6333,68.34,54,0,5.03,clear sky
