City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Karratha,AU,2022-09-17 01:16:41,-20.7377,116.8463,79.34,22,8,19.06
1,Cidreira,BR,2022-09-17 01:16:41,-30.1811,-50.2056,60.66,81,0,13.51
2,Pisco,PE,2022-09-17 01:16:41,-13.7,-76.2167,59.05,88,20,9.22
3,Baherden,TM,2022-09-17 01:16:42,38.4362,57.4316,69.03,34,80,1.43
4,Taoudenni,ML,2022-09-17 01:16:42,22.6783,-3.9836,91.56,17,0,8.5
5,Ushuaia,AR,2022-09-17 01:16:42,-54.8,-68.3,42.46,61,75,8.05
6,Rikitea,PF,2022-09-17 01:16:43,-23.1203,-134.9692,72.41,71,0,14.61
7,Yaring,TH,2022-09-17 01:16:43,6.8662,101.3689,80.89,76,73,8.95
8,Tongliao,CN,2022-09-17 01:16:44,43.6125,122.2653,65.34,67,100,4.74
9,Arraial Do Cabo,BR,2022-09-17 01:16:44,-22.9661,-42.0278,66.54,75,98,10.67
10,Atuona,PF,2022-09-17 01:16:44,-9.8,-139.0333,76.69,70,17,18.86
11,Srednekolymsk,RU,2022-09-17 01:16:44,67.45,153.6833,39.51,65,90,8.57
12,Sladkovo,RU,2022-09-17 01:16:45,55.5284,70.3385,43.38,64,22,7.99
13,North Myrtle Beach,US,2022-09-17 01:14:55,33.816,-78.68,76.06,85,0,0.0
14,Tavares,US,2022-09-17 01:16:14,28.8042,-81.7256,75.99,93,20,8.05
15,Hilo,US,2022-09-17 01:16:45,19.7297,-155.09,90.28,73,0,13.8
16,Banda Aceh,ID,2022-09-17 01:16:46,5.5577,95.3222,81.01,75,100,12.68
17,Jawhar,SO,2022-09-17 01:16:46,2.7809,45.5005,74.53,81,98,12.37
18,Yellowknife,CA,2022-09-17 01:16:46,62.456,-114.3525,64.56,67,40,9.22
19,Doha,QA,2022-09-17 01:12:05,25.2867,51.5333,91.38,40,0,12.66
20,Hobart,AU,2022-09-17 01:16:47,-42.8794,147.3294,57.25,70,75,10.36
21,Bandarbeyla,SO,2022-09-17 01:16:47,9.4942,50.8122,78.22,76,34,22.82
22,Waxahachie,US,2022-09-17 01:16:47,32.3865,-96.8483,86.32,60,0,0.0
23,Zhigansk,RU,2022-09-17 01:16:48,66.7697,123.3711,39.47,73,70,13.94
24,Jamestown,US,2022-09-17 01:13:43,42.097,-79.2353,65.84,75,0,1.01
25,New Norfolk,AU,2022-09-17 01:16:48,-42.7826,147.0587,56.91,72,100,1.99
26,Mataura,NZ,2022-09-17 01:16:48,-46.1927,168.8643,55.02,45,14,2.93
27,The Valley,AI,2022-09-17 01:16:49,18.217,-63.0578,83.1,79,64,31.12
28,Pevek,RU,2022-09-17 01:16:49,69.7008,170.3133,36.32,72,100,11.07
29,Vaini,TO,2022-09-17 01:16:49,-21.2,-175.2,78.96,83,40,8.05
30,Lebu,CL,2022-09-17 01:16:50,-37.6167,-73.65,45.01,93,100,13.71
31,Bethel,US,2022-09-17 01:16:50,41.3712,-73.414,64.76,78,0,0.0
32,Saskylakh,RU,2022-09-17 01:16:50,71.9167,114.0833,34.0,89,100,21.27
33,Mahebourg,MU,2022-09-17 01:16:51,-20.4081,57.7,71.26,78,40,12.66
34,Nikolskoye,RU,2022-09-17 01:16:51,59.7035,30.7861,46.29,95,74,6.89
35,Saint-Philippe,RE,2022-09-17 01:16:52,-21.3585,55.7679,65.79,84,44,15.05
36,Santa Maria,BR,2022-09-17 01:16:46,-29.6842,-53.8069,57.96,80,0,10.87
37,Hofn,IS,2022-09-17 01:16:52,64.2539,-15.2082,48.25,66,98,5.82
38,Codrington,AU,2022-09-17 01:16:52,-38.2667,141.9667,51.62,88,100,19.82
39,Busselton,AU,2022-09-17 01:16:53,-33.65,115.3333,60.03,80,100,8.68
40,Port Alfred,ZA,2022-09-17 01:16:53,-33.5906,26.891,60.19,88,100,3.0
41,San Roque,ES,2022-09-17 01:16:53,36.2107,-5.3842,70.63,68,0,10.36
42,Concepcion,CL,2022-09-17 01:16:54,-36.827,-73.0498,53.4,94,100,19.57
43,Punta Arenas,CL,2022-09-17 01:16:54,-53.15,-70.9167,41.11,70,75,19.57
44,Turek,PL,2022-09-17 01:16:54,52.0155,18.5005,47.61,69,81,12.84
45,Santa Isabel,BR,2022-09-17 01:16:55,-23.3156,-46.2214,56.16,93,100,6.44
46,Ecoporanga,BR,2022-09-17 01:16:55,-18.3733,-40.8306,70.63,87,64,10.2
47,Flin Flon,CA,2022-09-17 01:16:55,54.7682,-101.865,56.53,61,29,5.68
48,Ribeira Grande,PT,2022-09-17 01:16:56,38.5167,-28.7,73.54,85,48,10.29
49,Butaritari,KI,2022-09-17 01:16:56,3.0707,172.7902,82.15,70,78,13.27
50,Torbay,CA,2022-09-17 01:12:13,47.6666,-52.7314,56.75,91,75,12.66
51,Bengkulu,ID,2022-09-17 01:16:56,-3.8004,102.2655,77.45,85,82,3.09
52,Sistranda,NO,2022-09-17 01:16:57,63.7256,8.834,51.76,83,100,21.54
